70-01-01/03-00-00.000,emp,emp,emp,emp,emp,emp,emp,emp
24-01-23/17-22-43.671,7.202,7.205,10.0,4.4,25.89,25.90,3.482,59.267
24-01-23/17-22-46.879,7.202,7.205,47.6,1.1,25.89,25.90,9.244,113.981
24-01-23/17-22-49.709,7.207,7.208,2.0,2.0,25.88,25.89,27.098,9.867
24-01-23/17-22-52.511,7.202,7.206,92.0,1.8,25.88,25.89,75.654,48.148
24-01-23/17-22-55.996,7.202,7.206,61.8,22.6,25.88,25.89,75.654,7.915
24-01-23/17-22-58.555,7.202,7.205,60.8,2.0,25.88,25.89,79.735,8.307
24-01-23/17-23-01.962,7.198,7.200,21.6,31.2,25.86,25.87,62.428,8.193
24-01-23/17-23-05.056,7.196,7.198,1.4,13.8,25.86,25.87,25.463,14.839
24-01-23/17-23-07.503,7.197,7.200,10.0,1.9,25.86,25.87,25.463,1.920
24-01-23/17-23-10.884,7.195,7.197,2.9,7.8,25.85,25.86,6.270,29.030
24-01-23/17-23-13.752,7.194,7.197,3.0,7.8,25.85,25.86,6.270,34.831
24-01-23/17-23-16.649,7.194,7.197,3.0,10.0,25.85,25.86,6.546,29.030
24-01-23/17-23-20.071,7.194,7.197,3.0,15.3,25.86,25.87,8.003,13.557
24-01-23/17-23-22.702,7.195,7.198,23.0,1.5,25.86,25.87,38.663,7.758
24-01-23/17-23-26.023,7.195,7.198,24.3,1.5,25.87,25.88,5.354,96.601
24-01-23/17-23-28.992,7.195,7.199,13.8,73.6,25.86,25.87,40.180,39.018
24-01-23/17-23-32.002,7.194,7.198,10.1,21.1,25.85,25.86,3.221,49.085
24-01-23/17-23-34.941,7.197,7.199,13.8,30.2,25.85,25.86,6.347,12.945
24-01-23/17-23-38.131,7.196,7.199,6.8,37.2,25.85,25.86,5.960,18.746
24-01-23/17-23-40.713,7.196,7.198,23.6,0.8,25.84,25.85,34.124,7.729
24-01-23/17-23-43.732,7.198,7.200,0.9,40.8,25.85,25.86,7.724,71.101
