Date,zenBidPrice,zenAskPrice,zenBidQty,zenAskQty,dashBidPrice,dashAskPrice,dashBidQty,dashAskQty

70-01-01/03-00-00.000,emp,emp,emp,emp,emp,emp,emp,emp
24-01-22/14-19-43.681,8.027,8.029,41.2,23.9,28.11,28.12,12.367,21.599
24-01-22/14-19-44.631,8.027,8.029,42.6,23.9,28.11,28.12,13.468,20.179
24-01-22/14-19-49.860,8.027,8.028,42.0,51.2,28.11,28.12,13.468,19.775
24-01-22/14-19-52.312,8.027,8.028,42.0,72.7,28.11,28.12,15.181,19.828
24-01-22/14-19-55.795,8.025,8.027,10.0,27.6,28.11,28.12,14.080,21.122
24-01-22/14-19-56.558,8.025,8.027,7.0,27.6,28.11,28.12,14.615,20.868
24-01-22/14-20-01.933,8.027,8.028,19.3,32.7,28.12,28.13,16.742,23.859
24-01-22/14-20-05.223,8.027,8.028,19.3,32.7,28.12,28.13,17.464,26.572
24-01-22/14-20-08.287,8.026,8.028,10.0,56.2,28.13,28.14,24.413,22.818
24-01-22/14-20-11.395,8.027,8.028,6.4,53.5,28.14,28.15,1.509,79.945
24-01-22/14-20-13.741,8.027,8.028,11.8,73.0,28.13,28.14,24.042,31.244
24-01-22/14-20-17.296,8.021,8.023,60.0,11.2,28.13,28.14,12.311,30.153
24-01-22/14-20-20.214,8.022,8.023,10.0,11.2,28.13,28.14,4.960,34.214
24-01-22/14-20-22.257,8.022,8.023,7.6,11.2,28.13,28.14,4.960,33.952
24-01-22/14-20-25.766,8.019,8.022,22.7,12.2,28.13,28.14,8.542,38.084
24-01-22/14-20-28.565,8.019,8.022,22.7,12.2,28.13,28.14,8.542,38.581
24-01-22/14-20-31.840,8.013,8.014,10.0,11.2,28.12,28.13,50.579,12.370
24-01-22/14-20-34.120,8.013,8.014,10.0,11.2,28.12,28.13,29.394,16.609
24-01-22/14-20-37.480,8.014,8.015,4.5,11.2,28.12,28.13,30.239,8.442
24-01-22/14-20-40.968,8.014,8.015,3.7,11.2,28.12,28.13,30.239,11.911
24-01-22/14-20-43.789,8.012,8.013,17.8,11.2,28.12,28.13,5.903,37.166
24-01-22/14-20-46.751,8.012,8.013,17.8,11.2,28.12,28.13,9.065,17.062
24-01-22/14-20-50.064,8.010,8.013,6.3,13.0,28.11,28.12,24.694,2.087
24-01-22/14-20-53.117,8.011,8.013,11.4,11.7,28.11,28.12,30.793,5.721
24-01-22/14-20-55.572,8.013,8.014,0.7,29.9,28.12,28.13,2.543,35.170
24-01-22/14-20-58.484,8.013,8.014,5.6,19.3,28.12,28.13,3.852,42.013
24-01-22/14-21-01.721,8.013,8.014,5.6,0.1,28.12,28.13,5.774,47.130
24-01-22/14-21-04.695,8.013,8.014,26.1,10.7,28.12,28.13,1.153,47.058
24-01-22/14-21-08.326,8.013,8.015,51.1,43.8,28.12,28.13,3.240,48.040
24-01-22/14-21-11.016,8.014,8.017,63.1,18.6,28.12,28.13,2.528,61.209
24-01-22/14-21-13.898,8.023,8.024,11.2,7.5,28.12,28.13,2.528,50.371
24-01-22/14-21-17.263,8.025,8.027,53.4,32.0,28.12,28.13,7.861,32.953
24-01-22/14-21-19.722,8.025,8.026,48.2,45.3,28.12,28.13,9.853,29.915
24-01-22/14-21-22.736,8.025,8.026,48.2,12.0,28.12,28.13,9.853,28.669
24-01-22/14-21-25.472,8.024,8.025,3.0,40.6,28.12,28.13,9.519,28.665
24-01-22/14-21-28.808,8.023,8.024,65.7,46.5,28.12,28.13,9.519,29.369
24-01-22/14-21-31.002,8.023,8.024,71.9,46.5,28.12,28.13,10.772,29.856
24-01-22/14-21-33.213,8.023,8.024,71.9,4.4,28.12,28.13,14.523,6.509
24-01-22/14-21-38.364,8.026,8.027,11.2,10.4,28.12,28.13,22.092,7.480
24-01-22/14-21-40.995,8.034,8.035,28.0,1.5,28.14,28.15,33.974,116.961
24-01-22/14-21-44.070,8.031,8.032,4.8,40.1,28.14,28.15,40.127,116.961
24-01-22/14-21-46.592,8.030,8.031,2.3,40.3,28.14,28.15,8.605,118.107
24-01-22/14-21-50.377,8.030,8.031,4.1,34.7,28.14,28.15,7.044,123.692
24-01-22/14-21-51.323,8.030,8.031,4.1,33.6,28.14,28.15,9.036,125.023
24-01-22/14-21-53.470,8.030,8.031,4.1,38.0,28.14,28.15,10.119,125.023
24-01-22/14-21-57.244,8.029,8.031,49.8,50.4,28.13,28.14,19.352,11.831
24-01-22/14-22-01.717,8.028,8.029,61.2,3.2,28.13,28.14,18.885,11.831
24-01-22/14-22-04.594,8.028,8.029,66.4,7.6,28.13,28.14,11.534,19.004
24-01-22/14-22-07.571,8.028,8.029,66.4,3.5,28.13,28.14,11.534,19.196
24-01-22/14-22-11.145,8.027,8.029,38.6,15.1,28.13,28.14,3.831,18.654
24-01-22/14-22-13.673,8.027,8.029,38.6,15.1,28.13,28.14,3.831,18.654
24-01-22/14-22-17.268,8.028,8.029,62.1,1.0,28.13,28.14,9.555,18.654
24-01-22/14-22-19.261,8.028,8.029,63.4,1.0,28.13,28.14,9.555,18.654
24-01-22/14-22-22.973,8.028,8.029,48.1,1.0,28.13,28.14,6.493,13.407
24-01-22/14-22-24.716,8.028,8.029,26.6,2.3,28.13,28.14,5.389,13.407
24-01-22/14-22-28.763,8.028,8.029,26.6,2.3,28.13,28.14,7.169,13.051
